date,ticker,qty,order
2020-12-14,XLB,89,SELL
2020-12-14,XLP,155,SELL
2020-12-14,XLY,88,SELL
2020-12-14,XLI,471,SELL
2020-12-14,XLV,43,BUY
2020-12-14,XLF,469,BUY
2020-12-14,TLT,449,BUY
2020-12-21,XLU,183,SELL
2020-12-21,XLK,70,BUY
2020-12-21,XLB,64,SELL
2020-12-21,XLP,255,BUY
2020-12-21,XLY,123,BUY
2020-12-21,XLI,60,SELL
2020-12-21,XLV,405,SELL
2020-12-21,XLF,19,SELL
2020-12-21,TLT,141,BUY
2020-12-28,XLU,311,SELL
2020-12-28,XLK,1,BUY
2020-12-28,XLB,170,SELL
2020-12-28,XLP,447,BUY
2020-12-28,XLY,243,BUY
2020-12-28,XLI,630,BUY
2020-12-28,XLF,53,BUY
2020-12-28,TLT,800,SELL
2021-01-04,XLU,245,SELL
2021-01-04,XLK,390,BUY
2021-01-04,XLB,806,BUY
2021-01-04,XLP,435,SELL
2021-01-04,XLY,387,BUY
2021-01-04,XLI,74,BUY
2021-01-04,XLF,159,SELL
2021-01-04,TLT,1105,SELL
2021-01-11,XLU,200,SELL
2021-01-11,XLK,138,SELL
2021-01-11,XLB,296,SELL
2021-01-11,XLP,75,SELL
2021-01-11,XLY,112,SELL
2021-01-11,XLI,507,SELL
2021-01-11,XLV,117,BUY
2021-01-11,XLF,223,SELL
2021-01-11,TLT,20,SELL
2021-01-18,XLU,185,BUY
2021-01-18,XLK,101,SELL
2021-01-18,XLB,288,SELL
2021-01-18,XLP,192,SELL
2021-01-18,XLY,750,SELL
2021-01-18,XLI,140,SELL
2021-01-18,XLV,945,BUY
2021-01-18,XLF,316,BUY
2021-01-25,XLU,212,BUY
2021-01-25,XLK,19,SELL
2021-01-25,XLB,7,SELL
2021-01-25,XLY,117,SELL
2021-01-25,XLI,220,SELL
2021-01-25,XLV,51,BUY
2021-01-25,XLF,169,BUY
2021-02-01,XLU,268,SELL
2021-02-01,XLK,149,SELL
2021-02-01,XLB,23,BUY
2021-02-01,XLP,320,BUY
2021-02-01,XLY,13,BUY
2021-02-01,XLI,18,BUY
2021-02-01,XLV,116,SELL
2021-02-01,XLF,105,SELL
2021-02-08,XLU,207,SELL
2021-02-08,XLK,118,SELL
2021-02-08,XLB,133,BUY
2021-02-08,XLP,181,BUY
2021-02-08,XLY,200,SELL
2021-02-08,XLI,381,SELL
2021-02-08,XLV,53,BUY
2021-02-08,XLF,190,SELL
2021-02-15,XLU,968,BUY
2021-02-15,XLK,72,SELL
2021-02-15,XLB,163,SELL
2021-02-15,XLP,192,BUY
2021-02-15,XLY,7,SELL
2021-02-15,XLI,335,SELL
2021-02-15,XLV,196,BUY
2021-02-15,XLF,68,SELL
2021-02-22,XLU,109,SELL
2021-02-22,XLK,62,SELL
2021-02-22,XLB,230,SELL
2021-02-22,XLP,259,BUY
2021-02-22,XLY,88,BUY
2021-02-22,XLI,452,SELL
2021-02-22,XLV,48,BUY
2021-02-22,XLF,354,BUY
2021-03-01,XLU,43,SELL
2021-03-01,XLK,88,BUY
2021-03-01,XLB,202,SELL
2021-03-01,XLP,26,BUY
2021-03-01,XLY,190,BUY
2021-03-01,XLI,77,SELL
2021-03-01,XLV,45,SELL
2021-03-01,XLF,6,SELL
2021-03-08,XLU,329,SELL
2021-03-08,XLK,37,SELL
2021-03-08,XLB,453,SELL
2021-03-08,XLP,106,SELL
2021-03-08,XLY,55,BUY
2021-03-08,XLI,287,SELL
2021-03-08,XLV,130,SELL
2021-03-08,XLF,372,SELL
2021-03-15,XLU,85,BUY
2021-03-15,XLK,468,BUY
2021-03-15,XLB,138,SELL
2021-03-15,XLP,59,SELL
2021-03-15,XLY,47,SELL
2021-03-15,XLI,223,SELL
2021-03-15,XLV,148,SELL
2021-03-15,XLF,8,SELL
2021-03-22,XLE,34,BUY
2021-03-22,XLK,211,SELL
2021-03-22,XLP,117,BUY
2021-03-22,XLY,29,SELL
2021-03-22,XLI,118,SELL
2021-03-22,XLV,417,BUY
2021-03-22,XLF,20,SELL
2021-03-29,XLE,110,BUY
2021-03-29,XLU,336,BUY
2021-03-29,XLK,135,BUY
2021-03-29,XLP,406,BUY
2021-03-29,XLY,264,SELL
2021-03-29,XLI,106,BUY
2021-03-29,XLV,290,SELL
2021-03-29,XLF,34,SELL
2021-04-05,XLE,19,SELL
2021-04-05,XLU,153,SELL
2021-04-05,XLK,137,SELL
2021-04-05,XLP,54,BUY
2021-04-05,XLY,427,BUY
2021-04-05,XLI,173,BUY
2021-04-05,XLV,295,SELL
2021-04-05,XLF,446,BUY
2021-04-12,XLE,315,BUY
2021-04-12,XLU,372,BUY
2021-04-12,XLK,101,SELL
2021-04-12,XLB,29,BUY
2021-04-12,XLP,122,BUY
2021-04-12,XLY,46,BUY
2021-04-12,XLI,29,BUY
2021-04-12,XLV,290,SELL
2021-04-12,XLF,412,SELL
2021-04-19,XLE,72,BUY
2021-04-19,XLU,164,BUY
2021-04-19,XLK,213,BUY
2021-04-19,XLB,29,SELL
2021-04-19,XLP,239,SELL
2021-04-19,XLI,54,SELL
2021-04-19,XLV,116,SELL
2021-04-19,XLF,31,SELL
2021-04-26,XLE,375,SELL
2021-04-26,XLU,228,BUY
2021-04-26,XLK,298,SELL
